MedCodeId	CleansedReadCode	Term	Type	Hypertension
264498011	662L.00	24 hr blood pressure monitoring	BP	no
254064013	246..12	o/e - blood pressure	BP	no
254083018	246E.00	sitting blood pressure reading	BP	no
256343017	315B.00	ambulatory blood pressure recording	BP	no
254080015	246D.00	standing blood pressure reading	BP	no
254084012	246F.00	o/e - blood pressure decreased	BP	no
254079018	246C.00	lying blood pressure reading	BP	no
254063019	246..00	o/e - blood pressure reading	BP	no
165902015	246k.00	unequal blood pressure in arms	BP	no
216600016	662V.00	blood pressure monitoring	BP	no
283030010	8CE3.00	blood pressure leaflet given	seen	no
1780183016	246P.00	standing diastolic blood pressure	BP	no
458812014	246W.00	average 24 hour systolic blood pressure	BP	no
458825018	246V.00	average 24 hour diastolic blood pressure	BP	no
458803012	246l.00	average systolic blood pressure	BP	no
458816012	246m.00	average diastolic blood pressure	BP	no
458823013	246a.00	average night interval diastolic blood pressure	BP	no
2159157015	246S.00	lying systolic blood pressure	BP	no
453928018	8HR8.00	referral for 24 hour blood pressure recording	referral	no
1780182014	246N.00	standing systolic blood pressure	BP	no
458808015	246b.00	average night interval systolic blood pressure	BP	no
2159158013	246T.00	lying diastolic blood pressure	BP	no
2474699019	662j.00	blood pressure recorded by patient at home	BP	no
2533615017	246d.00	average home systolic blood pressure	BP	no
458809011	246Y.00	average day interval systolic blood pressure	BP	no
458824019	246X.00	average day interval diastolic blood pressure	BP	no
2159155011	246Q.00	sitting systolic blood pressure	BP	no
2159156012	246R.00	sitting diastolic blood pressure	BP	no
2533636015	246c.00	average home diastolic blood pressure	BP	no
622341000000118	246g.00	self measured blood pressure reading	BP	no
298281000000114	246e.00	ambulatory systolic blood pressure	BP	no
923841000006113		o/e - blood pressure reading	BP	no
961661000006115		elevated pulse/respirations/blood pressure	BP	high bp
298311000000112	246f.00	ambulatory diastolic blood pressure	BP	no
1009231000006116		24 hr blood pressure abnormal	BP	abnormal bp
1009241000006114		24 hr blood pressure normal	BP	normal bp
961921000006116		abnormal blood pressure reading	BP	abnormal bp
1736521000000113	7P1B300	removal of ambulatory blood pressure monitor	BP	no
1808011000006111		systolic blood pressure - left arm	BP	no
1805081000006114		blood pressure monitoring in both arms	BP	no
1776461000006114		reason for referral: blood pressure	referral	no
1928521000006112		baseline diastolic blood pressure	BP	no
1928511000006116		baseline systolic blood pressure	BP	no
1808051000006112		diastolic blood pressure - right arm	BP	no
1994021000006115		home systolic blood pressure	BP	no
1993951000006110		home diastolic blood pressure	BP	no
2145481000000113	8HRH.00	referral for ambulatory blood pressure monitoring	referral	no
2122411000000113	246j.00	systolic blood pressure centile	BP	no
2371211000000110	8A59.00	self-monitoring of blood pressure	BP	no
2378631000000110	246n.00	baseline blood pressure	BP	no
2418961000000111	246n100	baseline systolic blood pressure	BP	no
2011931000006112		blood pressure recorded by pharmacy	BP	no
2610791000000116		preoperative blood pressure measurement	BP	no
2616361000000114		non-invasive central systolic blood pressure	BP	no
2616321000000118		non-invasive central blood pressure	BP	no
2616401000000117		non-invasive central diastolic blood pressure	BP	no
64172013	G20..11	high blood pressure	BP	high bp
1808041000006110		systolic blood pressure - right arm	BP	no
1808021000006115		diastolic blood pressure - left arm	BP	no
2122371000000114	246i.00	diastolic blood pressure centile	BP	no
2418921000000115	246n000	baseline diastolic blood pressure	BP	no
2011941000006119		blood pressure recorded in community	BP	no
317910016	R1y2.00	[d]raised blood pressure reading	BP	high bp
317911017	R1y3.00	[d]low blood pressure reading	BP	low bp
619931000006119	246A.00	diastolic blood pressure	BP	no
461166013	ZV70B00	[v]examination of blood pressure	BP	no
5295121000006118		non-invasive mean blood pressure	BP	no
114311000006111	2469.00	systolic blood pressure	BP	no
459379010	662Q.00	borderline blood pressure	BP	abnormal bp
2018581000006111		blood pressure recorded by optician	BP	no
254091010	246Z.00	o/e-blood pressure reading nos	BP	no
1736511000000119	7P1B200	application of ambulatory blood pressure monitor	BP	no
254074011	2468.00	o/e - bp reading:postural drop	BP	postural drop
264475015	662B.00	o/e - initial high bp	BP	high bp
264476019	662C.00	o/e - check high bp	BP	high bp
254073017	2467.00	o/e - bp reading very high	BP	high bp
254071015	2465.00	o/e - bp borderline raised	BP	high bp
254077016	246B.00	o/e - bp stable	BP	no
254072010	2466.00	o/e - bp reading raised	BP	high bp
264466017	6623.00	pre-treatment bp reading	BP	no
254067018	2461.00	o/e - bp reading very low	BP	low bp
254069015	2463.00	o/e - bp borderline low	BP	low bp
254070019	2464.00	o/e - bp reading normal	BP	normal bp
254085013	246G.00	o/e - bp labile	BP	no
285667015	9OD7.00	bp screen - 3rd recall	admin	no
285672012	9ODB.00	bp abnormal - 3rd recall	BP	abnormal bp
285670016	9OD9.00	bp abnormal - 1st recall	BP	abnormal bp
285671017	9ODA.00	bp abnormal - 2nd recall	BP	abnormal bp
285666012	9OD6.00	bp screen - 2nd recall	admin	no
