medcode	readcode	desc	Type	Hypertension
10055	R1y4.00	[d]bp reading labile	BP	no
6598	R1y3.00	[d]low blood pressure reading	BP	low bp
676	R1y2.00	[d]raised blood pressure reading	BP	high bp
5760	ZV70B00	[v]examination of blood pressure	BP	no
102	662L.00	24 hr blood pressure monitoring	BP	no
14448	315B.00	ambulatory blood pressure recording	BP	no
48008	246f.00	ambulatory diastolic blood pressure	BP	no
41052	246e.00	ambulatory systolic blood pressure	BP	no
102496	7P1B200	application of ambulatory blood pressure monitor	BP	no
103	246V.00	average 24 hour diastolic blood pressure	BP	no
38277	246W.00	average 24 hour systolic blood pressure	BP	no
41445	246X.00	average day interval diastolic blood pressure	BP	no
34618	246Y.00	average day interval systolic blood pressure	BP	no
108648	246m.00	average diastolic blood pressure	BP	no
31305	246c.00	average home diastolic blood pressure	BP	no
29261	246d.00	average home systolic blood pressure	BP	no
43547	246a.00	average night interval diastolic blood pressure	BP	no
38278	246b.00	average night interval systolic blood pressure	BP	no
108647	246l.00	average systolic blood pressure	BP	no
109494	246n.00	baseline blood pressure	BP	no
112259	246n100	baseline systolic blood pressure	BP	no
22165	8CE3.00	blood pressure leaflet given	seen	no
20049	662V.00	blood pressure monitoring	BP	no
22476	662j.00	blood pressure recorded by patient at home	BP	no
8574	662Q.00	borderline blood pressure	BP	abnormal bp
43719	9OD9.00	bp abnormal - 1st recall	BP	abnormal bp
47932	9ODA.00	bp abnormal - 2nd recall	BP	abnormal bp
55411	9ODB.00	bp abnormal - 3rd recall	BP	abnormal bp
34187	9OD6.00	bp screen - 2nd recall	admin	no
16288	9OD7.00	bp screen - 3rd recall	admin	no
109218	246i.00	diastolic blood pressure centile	BP	no
351	G20..11	high blood pressure	BP	high bp
14640	246C.00	lying blood pressure reading	BP	no
65990	246T.00	lying diastolic blood pressure	BP	no
43282	246S.00	lying systolic blood pressure	BP	no
100	246..12	o/e - blood pressure	BP	no
27273	246F.00	o/e - blood pressure decreased	BP	no
1	246..00	o/e - blood pressure reading	BP	no
27274	2463.00	o/e - bp borderline low	BP	low bp
3481	2465.00	o/e - bp borderline raised	BP	high bp
25553	246G.00	o/e - bp labile	BP	no
57	246..11	o/e - bp reading	BP	no
5341	2462.00	o/e - bp reading low	BP	low bp
859	2464.00	o/e - bp reading normal	BP	normal bp
5020	2466.00	o/e - bp reading raised	BP	high bp
14643	2467.00	o/e - bp reading very high	BP	high bp
101	2461.00	o/e - bp reading very low	BP	low bp
19905	246J.00	o/e - bp reading: no postural drop	BP	normal bp
14452	2468.00	o/e - bp reading:postural drop	BP	postural drop
