prodcode	dmdcode	gemscriptcode	productname	drugsubstance	strength	formulation	route	bnfcode	bnfchapter	Group
2	317919004	58976020	Bendroflumethiazide 2.5mg tablets	Bendroflumethiazide	2.5mg	Tablet	Oral	02020100/09050102	Thiazides And Related Diuretics/Hypercalcaemia And Hypercalciuria	Diuretic
5	318420003	60153020	Atenolol 50mg tablets	Atenolol	50mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
6	317972000	59420020	Furosemide 40mg tablets	Furosemide	40mg	Tablet	Oral	02020200	Loop Diuretics	Diuretic
24	318421004	60152020	Atenolol 100mg tablets	Atenolol	100mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
26	318434003	67920020	Atenolol 25mg tablets	Atenolol	25mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
55	317971007	59419020	Furosemide 20mg tablets	Furosemide	20mg	Tablet	Oral	02020200	Loop Diuretics	Diuretic
56	318136009	73909020	Co-amilofruse 5mg/40mg tablets	Amiloride hydrochloride/Furosemide	5mg + 40mg	Tablet	Oral	02020400	Potassium-sparing Diuretics With Other Diuretics	Diuretic
58	317920005	58977020	Bendroflumethiazide 5mg tablets	Bendroflumethiazide	5mg	Tablet	Oral	02020100	Thiazides And Related Diuretics	Diuretic
119	318781001	69308020	Doxazosin 1mg tablets	Doxazosin mesilate	1mg	Tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
193	318135008	73910020	Co-amilofruse 2.5mg/20mg tablets	Amiloride hydrochloride/Furosemide	2.5mg + 20mg	Tablet	Oral	02020400	Potassium-sparing Diuretics With Other Diuretics	Diuretic
211	40605001000027104	53107020	Frumil 40mg+5mg Tablet (Helios Healthcare Ltd)	Amiloride hydrochloride/Furosemide	5mg + 40mg	Tablet	Oral	02020200/02020400	Loop Diuretics/Potassium-sparing Diuretics With Other Diuretics	Diuretic
220	89655001000027104	59375020	Propranolol 5mg/5ml oral solution	Propranolol Hydrochloride	5mg/5ml	Oral Solution	Oral	02030202/02040000	Supraventricular Arrhythmias/Beta-adrenoceptor Blocking Drugs	B-blocker
297	318352004	59368020	Propranolol 10mg tablets	Propranolol hydrochloride	10mg	Tablet	Oral	02040000/04070402/04090300/06020200	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs	B-blocker
348	19555001000027108	50481020	Moduretic Tablet (Bristol-Myers Squibb Pharmaceuticals Ltd)	Amiloride hydrochloride/Hydrochlorothiazide	5mg + 50mg	Tablet	Oral	02020100/02020400	Thiazides And Related Diuretics/Potassium-sparing Diuretics With Other Diuretics	Diuretic
445	4078311000001100	74153020	Prazosin 1mg tablets and Prazosin 500microgram tablets			Not applicable	Route of administration not applicable	00000000	Unknown	Alpha blocker
472	318590006	68438020	Bisoprolol 5mg tablets	Bisoprolol fumarate	5mg	Tablet	Oral	02040000/02050000	Beta-adrenoceptor Blocking Drugs/Hypertension And Heart Failure	B-blocker
493	318782008	69309020	Doxazosin 2mg tablets	Doxazosin mesilate	2mg	Tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
