ProdCodeId	dmdid	Term.from.EMIS	ProductName	Formulation	RouteOfAdministration	DrugSubstanceName	SubstanceStrength	BNFChapter	DrugIssues	Group	Name	Class
10841000033119	660111000001107	Acepril 12.5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Acepril 12.5mg tablets	Tablet	Oral	Captopril	12.500mg	2050501	20000	ever exclusion	Captopril	ACE
10941000033110	517711000001103	Acepril 25mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Acepril 25mg tablets	Tablet	Oral	Captopril	25.000mg	2050501	30000	ever exclusion	Captopril	ACE
11041000033117	814111000001108	Acepril 50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Acepril 50mg tablets	Tablet	Oral	Captopril	50.000mg	2050501	10000	ever exclusion	Captopril	ACE
11241000033113	260211000001104	Accuretic 10mg/12.5mg tablets (Pfizer Ltd)	Accuretic 10mg/12.5mg tablets	Tablet	Oral	Hydrochlorothiazide/ Quinapril hydrochloride	12.500mg + 10.000mg	2050501	20000	Combo	Combo	Combo
11641000033111	86411000001109	Accupro 40mg tablets (Pfizer Ltd)	Accupro 40mg tablets	Tablet	Oral	Quinapril hydrochloride	40.000mg	2050501	4000	ever exclusion	Quinapril	ACE
13141000033119	263311000001101	Acezide 25mg/50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Acezide 25mg/50mg tablets	Tablet	Oral	Captopril/ Hydrochlorothiazide	50.000mg + 25.000mg	2050501	20000	Combo	Combo	Combo
13241000033114	231111000001106	Accupro 10mg tablets (Pfizer Ltd)	Accupro 10mg tablets	Tablet	Oral	Quinapril hydrochloride	10.000mg	2050501	20000	ever exclusion	Quinapril	ACE
13341000033116	829111000001100	Accupro 20mg tablets (Pfizer Ltd)	Accupro 20mg tablets	Tablet	Oral	Quinapril hydrochloride	20.000mg	2050501	20000	ever exclusion	Quinapril	ACE
13441000033110	582611000001106	Accupro 5mg tablets (Pfizer Ltd)	Accupro 5mg tablets	Tablet	Oral	Quinapril hydrochloride	5.000mg	2050501	20000	ever exclusion	Quinapril	ACE
13841000033113	NA	Adizem Capsules 60 mg							300	6 month exclusion	Diltiazem	CCB
14041000033115	782511000001108	Adalat 10mg capsules (Bayer Plc)	Adalat 10mg capsules	Capsule	Oral	Nifedipine	10.000mg	2060200	200000	Mono	Nifedipine	CCB
14141000033116	27111000001107	Adalat 5mg capsules (Bayer Plc)	Adalat 5mg capsules	Capsule	Oral	Nifedipine	5.000mg	2060200	100000	Mono	Nifedipine	CCB
17141000033112	2881311000001105	Adalat LA 30mg tablets (Bayer Plc)	Adalat LA 30mg tablets	Modified-release tablet	Oral	Nifedipine	30.000mg	2060200	3000000	Mono	Nifedipine	CCB
17241000033117	235511000001104	Adalat LA 60mg tablets (Bayer Plc)	Adalat LA 60mg tablets	Modified-release tablet	Oral	Nifedipine	60.000mg	2060200	2000000	Mono	Nifedipine	CCB
17341000033110	2887311000001104	Adizem-SR 120mg capsules (Napp Pharmaceuticals Ltd)	Adizem-SR 120mg capsules	Modified-release capsule	Oral	Diltiazem hydrochloride	120.000mg	2060200	300000	6 month exclusion	Diltiazem	CCB
17441000033116	2886711000001103	Adizem-SR 180mg capsules (Napp Pharmaceuticals Ltd)	Adizem-SR 180mg capsules	Modified-release capsule	Oral	Diltiazem hydrochloride	180.000mg	2060200	200000	6 month exclusion	Diltiazem	CCB
17541000033115	NA	Adizem-Sr M/R capsules 300 mg							6000	6 month exclusion	Diltiazem	CCB
17641000033119	2887011000001102	Adizem-SR 90mg capsules (Napp Pharmaceuticals Ltd)	Adizem-SR 90mg capsules	Modified-release capsule	Oral	Diltiazem hydrochloride	90.000mg	2060200	500000	6 month exclusion	Diltiazem	CCB
17741000033111	2937811000001108	Adizem-XL 120mg capsules (Napp Pharmaceuticals Ltd)	Adizem-XL 120mg capsules	Modified-release capsule	Oral	Diltiazem hydrochloride	120.000mg	2060200	700000	6 month exclusion	Diltiazem	CCB
17841000033118	2938011000001101	Adizem-XL 180mg capsules (Napp Pharmaceuticals Ltd)	Adizem-XL 180mg capsules	Modified-release capsule	Oral	Diltiazem hydrochloride	180.000mg	2060200	600000	6 month exclusion	Diltiazem	CCB
17941000033114	2886311000001102	Adizem-XL 240mg capsules (Napp Pharmaceuticals Ltd)	Adizem-XL 240mg capsules	Modified-release capsule	Oral	Diltiazem hydrochloride	240.000mg	2060200	700000	6 month exclusion	Diltiazem	CCB
18041000033112	2886111000001104	Adizem-XL 300mg capsules (Napp Pharmaceuticals Ltd)	Adizem-XL 300mg capsules	Modified-release capsule	Oral	Diltiazem hydrochloride	300.000mg	2060200	600000	6 month exclusion	Diltiazem	CCB
