MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	Release	EmisCodeCategoryId	CCB	Type
216196019	600000	8I64	8I64.00	angiotensin converting enzyme inhibitor not indicated	134390006	216196019	NA	32	1	not prescribed
216203014	50000	8I3D	8I3D.00	angiotensin converting enzyme inhibitor declined	134397009	216203014	NA	32	1	not prescribed
216554010	20000	8BG1	8BG1.00	calcium channel blocker indicated	135796009	216554010	NA	32	1	indicated
216557015	50000	8BG4	8BG4.00	angiotensin converting enzyme inhibitor indicated	135799002	216557015	NA	32	1	indicated
216564018	10000	8I68	8I68.00	calcium channel blocker not indicated	135806009	216564018	NA	32	1	not prescribed
216581010	2000	8I2B	8I2B.00	calcium channel blocker contraindicated	135823000	216581010	NA	32	1	not prescribed
216583013	900	8I3I	8I3I.00	calcium channel blocker declined	135825007	216583013	NA	32	1	not prescribed
264485019	40000	662F	662F.00	treatment for hypertension started	170586008	2694699015	NA	1	1	prescribed
264486018	100000	662G	662G.00	hypertensive treatment changed	170587004	2871342011	NA	1	1	prescribed
264487010	9000	662H	662H.00	treatment for hypertension stopped	170588009	2691941019	NA	1	1	prescribed
324341018	10	SLC64	SLC6400	poisoning by angiotensin-converting-enzyme inhibitors	212706004	324341018	NA	32	1	accidental
324350016	5	SLC9	SLC9.00	poisoning by calcium-channel blockers	212715006	324350016	NA	32	1	accidental
331291010	900	TJC7	TJC7.00	adverse reaction to other antihypertensives	293495006	433712011	NA	5	1	allergy
331302012	800	TJC7z	TJC7z00	antihypertensive adverse reaction	293495006	433712011	NA	5	1	allergy
443764015	200000	662O	662O.00	on treatment for hypertension	302192008	443764015	NA	1	1	prescribed
451424017	60000	8B26	8B26.00	antihypertensive therapy	308116003	451424017	NA	32	1	prescribed
459523012	1000000	8B6B	8B6B.00	ace inhibitor prophylaxis	315054007	459523012	NA	32	1	prescribed
459878010	100000	8I28	8I28.00	angiotensin converting enzyme inhibitors contraindicated	315364008	459878010	NA	32	1	not prescribed
1488688019	80000	8I2H	8I2H.00	angiotensin ii receptor antagonists contraindicated	394987009	1488688019	NA	32	1	not prescribed
1488710013	200000	8B6E	8B6E.00	angiotensin ii receptor antagonist prophylaxis	395010006	1488710013	NA	32	1	prescribed
1773745017	700	ESCTAN5		angio-oedema due to angiotensin-converting-enzyme inhibitor	403607004	1773745017	NA	32	1	prescribed
1780252014	3000	8I3N	8I3N.00	hypertension treatment refused	401047000	1780252014	NA	32	1	not prescribed
1780288016	30000	8I3P	8I3P.00	angiotensin ii receptor antagonist declined	401084003	1780288016	NA	32	1	not prescribed
2159165017	200000	8I74	8I74.00	angiotensin converting enzyme inhibitor not tolerated	407564000	2159165017	NA	5	1	allergy
