prodcode	dmdcode	gemscriptcode	productname	drugsubstance	strength	formulation	route	bnfcode	bnfchapter	Group	Name	Class
29	182975001000027104	72826020	Amlodipine besilate 5mg tablets	Amlodipine	5mg	Tablets	Oral	02060200	Calcium-channel Blockers	Mono	Amlodipine	CCB
65	318859000	68572020	Lisinopril 10mg tablets	Lisinopril	10mg	Tablet	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Lisinopril	ACE
69	318860005	68575020	Lisinopril 20mg tablets	Lisinopril	20mg	Tablet	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Lisinopril	ACE
71	182985001000027104	72827020	Amlodipine besilate 10mg tablets	Amlodipine	10mg	Tablets	Oral	02060200	Calcium-channel Blockers	Mono	Amlodipine	CCB
78	318858008	68571020	Lisinopril 5mg tablets	Lisinopril	5mg	Tablet	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Lisinopril	ACE
80	318902004	72676020	Ramipril 5mg capsules	Ramipril	5mg	Capsule	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Ramipril	ACE
82	318906001	70737020	Ramipril 10mg capsules	Ramipril	10mg	Capsule	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Ramipril	ACE
97	318897000	72573020	Perindopril erbumine 4mg tablets	Perindopril erbumine	4mg	Tablet	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Perindopril	ACE
147	318900007	72674020	Ramipril 1.25mg capsules	Ramipril	1.25mg	Capsule	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Ramipril	ACE
196	318851002	60791020	Enalapril 5mg tablets	Enalapril maleate	5mg	Tablet	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Enalapril	ACE
217	118915001000027104	03900007	CAPTOPRIL 4 MG/ML LIQ					00000000	Unknown	ever exclusion	Captopril	ACE
219	418945005	72563020	Diltiazem 120mg modified-release tablets	Diltiazem hydrochloride	120mg	Modified-release tablet	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
269	319222004	65053020	Nifedipine 5mg capsules	Nifedipine	5mg	Capsule	Oral	02060200	Calcium-channel Blockers	Mono	Nifedipine	CCB
277	318857003	68570020	Lisinopril 2.5mg tablets	Lisinopril	2.5mg	Tablet	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Lisinopril	ACE
410	319274001	68508020	Nifedipine 10mg modified-release tablets	Nifedipine	10mg	Modified-release tablet	Oral	02060200	Calcium-channel Blockers	Mono	Nifedipine	CCB
448	318850001	60790020	Enalapril 2.5mg tablets	Enalapril maleate	2.5mg	Tablet	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Enalapril	ACE
452	319223009	65052020	Nifedipine 10mg capsules	Nifedipine	10mg	Capsule	Oral	02060200	Calcium-channel Blockers	Mono	Nifedipine	CCB
491	319291002	52181020	Felodipine 2.5mg modified-release tablets	Felodipine	2.5mg	Modified-release tablet	Oral	02060200	Calcium-channel Blockers	Mono	Felodipine	CCB
501	319287007	52179020	Felodipine 5mg modified-release tablets	Felodipine	5mg	Modified-release tablet	Oral	02060200	Calcium-channel Blockers	Mono	Felodipine	CCB
517	71075001000027104	57066020	Adizem sr 120mg Modified-release capsule (Napp Pharmaceuticals Ltd)	Diltiazem Hydrochloride	120mg	Modified-release Capsule	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
520	318955005	76333020	Losartan 25mg tablets	Losartan potassium	25mg	Tablet	Oral	02050502	Angiotensin-ii Receptor Antagonists	Mono	Losartan	ARB
529	318977009	81323020	Candesartan 2mg tablets	Candesartan cilexetil	2mg	Tablet	Oral	02050502	Angiotensin-ii Receptor Antagonists	Mono	Candesartan	ARB
531	318978004	81324020	Candesartan 4mg tablets	Candesartan cilexetil	4mg	Tablet	Oral	02050502	Angiotensin-ii Receptor Antagonists	Mono	Candesartan	ARB
536	111175001000027104	62588020	Tildiem la 200mg Modified-release capsule (Sanofi)	Diltiazem hydrochloride	200mg	Modified-release capsule	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
541	881811000001100	84301020	Adalat LA 20mg tablets (Bayer Plc)	Nifedipine	20mg	Modified-release tablet	Oral	02060200	Calcium-channel Blockers	Mono	Nifedipine	CCB
568	319288002	52180020	Felodipine 10mg modified-release tablets	Felodipine	10mg	Modified-release tablet	Oral	02060200	Calcium-channel Blockers	Mono	Felodipine	CCB
575	318961008	83501020	Valsartan 40mg capsules	Valsartan	40mg	Capsule	Oral	02050502	Angiotensin-ii Receptor Antagonists	Mono	Valsartan	ARB
593	318896009	72572020	Perindopril erbumine 2mg tablets	Perindopril erbumine	2mg	Tablet	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Perindopril	ACE
624	407784004	79160020	Losartan 100mg tablets	Losartan potassium	100mg	Tablet	Oral	02050502	Angiotensin-ii Receptor Antagonists	Mono	Losartan	ARB
633	318909008	74178020	Fosinopril 10mg tablets	Fosinopril sodium	10mg	Tablet	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Fosinopril	ACE
636	319185009	86603020	Diltiazem 60mg modified-release capsules	Diltiazem hydrochloride	60mg	Modified-release capsule	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
654	212915001000027104	80174020	Ramipril 2.5/5mg/10mg capsule	Ramipril	2.5mg + 5mg + 10mg	Capsules	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Ramipril	ACE
662	27111000001107	52564020	Adalat 5mg capsules (Bayer Plc)	Nifedipine	5mg	Capsule	Oral	02060200	Calcium-channel Blockers	Mono	Nifedipine	CCB
700	7418511000001104	84862020	Vera-Til SR 120mg tablets (Tillomed Laboratories Ltd)	Verapamil hydrochloride	120mg	Modified-release tablet	Oral	02060200	Calcium-channel Blockers	Mono	Verapamil	Verapamil
709	318901006	72675020	Ramipril 2.5mg capsules	Ramipril	2.5mg	Capsule	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Ramipril	ACE
729	237575001000027104	87704020	Amlodipine maleate 5mg tablets	Amlodipine	5mg	Tablets	Oral	02060200	Calcium-channel Blockers	Mono	Amlodipine	CCB
737	319273007	73827020	Nifedipine 20mg modified-release capsules	Nifedipine	20mg	Modified-release capsule	Oral	02060200	Calcium-channel Blockers	Mono	Nifedipine	CCB
749	319283006	88863020	Amlodipine 5mg tablets	Amlodipine	5mg	Tablet	Oral	02060200	Calcium-channel Blockers	Mono	Amlodipine	CCB
